wavenumber,spectra
3999.706,0.016559295
3997.7773,0.016687501
3995.8489,0.016696455
3993.9204,0.01653806
3991.992,0.016546525
3990.0635,0.016479515
3988.135,0.016377518
3986.2065,0.016376795
3984.278,0.016401226
3982.3494,0.016366543
3980.421,0.01640797
3978.4924,0.016657066
3976.564,0.016659854
3974.6355,0.016422903
3972.707,0.016346175
3970.7786,0.01649686
3968.85,0.016540399
3966.9214,0.01648385
3964.993,0.01653152
3963.0645,0.016571963
3961.136,0.016476348
3959.2075,0.016353434
3957.279,0.016386911
3955.3506,0.01644885
3953.4219,0.016627526
3951.4934,0.01668127
3949.565,0.01674449
3947.6365,0.016565183
3945.708,0.016646495
3943.7795,0.016942855
3941.851,0.016334409
3939.9226,0.016056307
3937.994,0.016204175
3936.0654,0.016378345
3934.137,0.016979307
3932.2085,0.016898
3930.28,0.01657644
3928.3516,0.016309224
3926.423,0.016709987
3924.4946,0.016517028
3922.566,0.016235989
3920.6375,0.016661713
3918.709,0.016808582
3916.7805,0.016552584
3914.852,0.015872126
3912.9236,0.016098151
3910.995,0.016018316
3909.0667,0.01606944
3907.138,0.017005323
3905.2095,0.018001933
3903.281,0.017557712
3901.3525,0.017472193
3899.424,0.016825287
3897.4956,0.015895704
3895.5671,0.016303308
3893.6384,0.017383482
3891.71,0.01713397
3889.7815,0.015702214
3887.853,0.016929489
3885.9246,0.017457154
3883.996,0.016375178
3882.0676,0.017692251
3880.1392,0.016847227
3878.2104,0.015561694
3876.282,0.016799076
3874.3535,0.017363308
3872.425,0.017320203
3870.4966,0.018272333
3868.568,0.016139038
3866.6396,0.017286895
3864.7112,0.017713167
3862.7825,0.01670372
3860.854,0.016141754
3858.9255,0.016767701
3856.997,0.01804407
3855.0686,0.019889398
3853.1401,0.01807063
3851.2117,0.015524536
3849.283,0.0158967
3847.3545,0.016185429
3845.426,0.016991643
3843.4976,0.017031545
3841.569,0.017498994
3839.6406,0.01877686
3837.7122,0.017870404
3835.7837,0.016896762
3833.855,0.016787779
3831.9265,0.016642537
3829.998,0.016063046
3828.0696,0.016878124
3826.141,0.016707232
3824.2126,0.017238935
3822.2842,0.019083574
3820.3557,0.017014626
3818.427,0.016944958
3816.4985,0.017559782
3814.57,0.01527108
3812.6416,0.015489477
3810.7131,0.015932927
3808.7847,0.017253933
3806.8562,0.016904237
3804.9275,0.016442897
3802.999,0.018634338
3801.0706,0.01728724
3799.142,0.016297288
3797.2136,0.016842647
3795.2852,0.015492121
3793.3567,0.015311064
3791.4282,0.01540354
3789.4995,0.015613795
3787.571,0.015834222
3785.6426,0.016196402
3783.714,0.015717776
3781.7856,0.016284319
3779.8572,0.016782649
3777.9287,0.015563514
3776.0002,0.015446661
3774.0715,0.015769312
3772.143,0.01667645
3770.2146,0.017150583
3768.2861,0.016071504
3766.3577,0.016519679
3764.4292,0.015847107
3762.5007,0.016230451
3760.5723,0.016985131
3758.6436,0.016669046
3756.715,0.01644214
3754.7866,0.017484369
3752.8582,0.019294234
3750.9297,0.019073708
3749.0012,0.017483195
3747.0728,0.018250665
3745.144,0.019056223
3743.2156,0.016126245
3741.287,0.01703058
3739.3586,0.018111669
3737.4302,0.019926237
3735.5017,0.020259004
3733.5732,0.01904982
3731.6448,0.017908521
3729.716,0.017367618
3727.7876,0.01842718
3725.8591,0.018362468
3723.9307,0.01815796
3722.0022,0.017784476
3720.0737,0.017338755
3718.1453,0.017015247
3716.2168,0.0168887
3714.288,0.018118197
3712.3596,0.019075438
3710.4312,0.018056262
3708.5027,0.017162614
3706.5742,0.017320445
3704.6458,0.018010464
3702.7173,0.018364334
3700.7886,0.01733496
3698.86,0.0172167
3696.9316,0.017691389
3695.0032,0.017779162
3693.0747,0.019182779
3691.1462,0.020831957
3689.2178,0.020047251
3687.2893,0.017485851
3685.3606,0.017779127
3683.4321,0.018130047
3681.5037,0.01884191
3679.5752,0.01977356
3677.6467,0.021372672
3675.7183,0.021902002
3673.7898,0.019187316
3671.8613,0.021072753
3669.9326,0.02118358
3668.0042,0.01938926
3666.0757,0.01967363
3664.1472,0.020233767
3662.2188,0.02051428
3660.2903,0.02090486
3658.3618,0.022023499
3656.433,0.02251876
3654.5046,0.021929916
3652.5762,0.024089888
3650.6477,0.026226232
3648.7192,0.025228815
3646.7908,0.023486739
3644.8623,0.023331827
3642.9338,0.024100114
3641.0051,0.024153216
3639.0767,0.024587056
3637.1482,0.024806015
3635.2197,0.025729258
3633.2913,0.026283078
3631.3628,0.027986739
3629.4343,0.029705055
3627.5059,0.027016021
3625.5771,0.027065918
3623.6487,0.027662266
3621.7202,0.028999265
3619.7917,0.029836917
3617.8633,0.028875837
3615.9348,0.029214755
3614.0063,0.029978016
3612.078,0.029241974
3610.1492,0.029932646
3608.2207,0.030322663
3606.2922,0.029745575
3604.3638,0.030104704
3602.4353,0.031085704
3600.5068,0.03151513
3598.5784,0.031656306
3596.6497,0.03211837
3594.7212,0.03231778
3592.7927,0.03194644
3590.8643,0.032646324
3588.9358,0.034021962
3587.0073,0.03329539
3585.0789,0.0325401
3583.1504,0.03306324
3581.2217,0.033468608
3579.2932,0.03376045
3577.3647,0.0341369
3575.4363,0.034436043
3573.5078,0.03459906
3571.5793,0.03509354
3569.651,0.036488388
3567.7224,0.03770942
3565.7937,0.036668655
3563.8652,0.03641466
3561.9368,0.0367985
3560.0083,0.036974456
3558.0798,0.037127815
3556.1514,0.03767068
3554.223,0.03849443
3552.2942,0.03878377
3550.3657,0.03859082
3548.4373,0.03946378
3546.5088,0.040181674
3544.5803,0.040077735
3542.6519,0.039931286
3540.7234,0.04040253
3538.795,0.04092624
3536.8662,0.04127481
3534.9377,0.04138909
3533.0093,0.042108644
3531.0808,0.042940352
3529.1523,0.043540746
3527.2239,0.043800298
3525.2954,0.04419366
3523.367,0.044523127
3521.4382,0.044446554
3519.5098,0.0448344
3517.5813,0.04523451
3515.6528,0.045596156
3513.7244,0.046133835
3511.796,0.04671295
3509.8674,0.047187883
3507.9387,0.047321912
3506.0103,0.04792633
3504.0818,0.0485875
3502.1533,0.048542555
3500.2249,0.048612848
3498.2964,0.049118027
3496.368,0.049605966
3494.4395,0.049886487
3492.5107,0.050271265
3490.5823,0.050790444
3488.6538,0.051233735
3486.7253,0.05136018
3484.7969,0.051933013
3482.8684,0.05262983
3480.94,0.05264838
3479.0115,0.052806817
3477.0828,0.05348791
3475.1543,0.053972907
3473.2258,0.054177467
3471.2974,0.05455912
3469.369,0.05486767
3467.4404,0.055251658
3465.512,0.055732377
3463.5833,0.05619877
3461.6548,0.056504074
3459.7263,0.056929737
3457.7979,0.05746625
3455.8694,0.057778012
3453.941,0.057956427
3452.0125,0.058416497
3450.084,0.058941375
3448.1553,0.059539087
3446.2268,0.059644252
3444.2983,0.05990399
3442.3699,0.060285226
3440.4414,0.060531747
3438.513,0.060837943
3436.5845,0.06117655
3434.656,0.061546724
3432.7273,0.061904185
3430.7988,0.062223777
3428.8704,0.0625394
3426.942,0.063024305
3425.0134,0.06355498
3423.085,0.06404183
3421.1565,0.06433848
3419.228,0.06449928
3417.2993,0.064651646
3415.3708,0.064859495
3413.4424,0.06504038
3411.514,0.06521765
3409.5854,0.065384515
3407.657,0.06559846
3405.7285,0.06582727
3403.7998,0.06606245
3401.8713,0.06623875
3399.9429,0.06646018
3398.0144,0.06668257
3396.086,0.06671085
3394.1575,0.06688096
3392.229,0.06705245
3390.3005,0.06726825
3388.3718,0.067538515
3386.4434,0.067667276
3384.515,0.06769214
3382.5864,0.067803405
3380.658,0.06785132
3378.7295,0.06783772
3376.801,0.06796638
3374.8726,0.06802726
3372.9438,0.06784551
3371.0154,0.067647494
3369.087,0.06757339
3367.1584,0.06767851
3365.23,0.06773168
3363.3015,0.067718856
3361.373,0.06761311
3359.4443,0.06747763
3357.5159,0.06758531
3355.5874,0.06757753
3353.659,0.06737345
3351.7305,0.067203924
3349.802,0.06707159
3347.8735,0.06701741
3345.945,0.066929504
3344.0164,0.066858426
3342.088,0.066795744
3340.1594,0.06660153
3338.231,0.06651316
3336.3025,0.066376515
3334.374,0.066155285
3332.4456,0.06608687
3330.517,0.06599984
3328.5884,0.06587983
3326.66,0.065634646
3324.7314,0.065516576
3322.803,0.06548602
3320.8745,0.06531696
3318.946,0.065183654
3317.0176,0.06504223
3315.0889,0.06499212
3313.1604,0.06484614
3311.232,0.064437285
3309.3035,0.0641958
3307.375,0.06402739
3305.4465,0.063958205
3303.518,0.06388089
3301.5896,0.06380348
3299.661,0.0637166
3297.7324,0.0636043
3295.804,0.06336704
3293.8755,0.063154005
3291.947,0.06290078
3290.0186,0.062874235
3288.09,0.062732875
3286.1616,0.06255891
3284.233,0.062417958
3282.3044,0.062280487
3280.376,0.062187184
3278.4475,0.06208553
3276.519,0.06186995
3274.5906,0.061620604
3272.662,0.061291
3270.7336,0.061060295
3268.805,0.061004583
3266.8765,0.060898818
3264.948,0.060772654
3263.0195,0.060534526
3261.091,0.060241602
3259.1626,0.060085528
3257.2341,0.05980762
3255.3054,0.05944375
3253.377,0.059147835
3251.4485,0.059028365
3249.52,0.05875948
3247.5916,0.058419872
3245.663,0.058251757
3243.7346,0.057978127
3241.8062,0.057711363
3239.8774,0.057497263
3237.949,0.057256956
3236.0205,0.056923885
3234.092,0.056526225
3232.1636,0.056173198
3230.235,0.05580618
3228.3066,0.055470567
3226.3782,0.05512814
3224.4495,0.05481034
3222.521,0.05451475
3220.5925,0.054126497
3218.664,0.053622887
3216.7356,0.053264383
3214.8071,0.052932337
3212.8787,0.05250036
3210.95,0.052146256
3209.0215,0.05169789
3207.093,0.051177103
3205.1646,0.05073499
3203.236,0.05040863
3201.3076,0.05007571
3199.3792,0.049711872
3197.4507,0.049287394
3195.522,0.048759773
3193.5935,0.048324
3191.665,0.047872163
3189.7366,0.04732487
3187.808,0.046890493
3185.8796,0.04654296
3183.9512,0.04613181
3182.0227,0.04565203
3180.094,0.04525348
3178.1655,0.044745103
3176.237,0.04413332
3174.3086,0.04377622
3172.3801,0.043326963
3170.4517,0.042814504
3168.5232,0.04231938
3166.5945,0.04178381
3164.666,0.041412964
3162.7375,0.04101796
3160.809,0.040463917
3158.8806,0.040110696
3156.9521,0.039599545
3155.0237,0.039058328
3153.0952,0.0386048
3151.1665,0.03827979
3149.238,0.037902158
3147.3096,0.037459984
3145.381,0.037055567
3143.4526,0.036623985
3141.5242,0.035996135
3139.5957,0.035544172
3137.6672,0.035248213
3135.7385,0.034977596
3133.81,0.03453566
3131.8816,0.034058083
3129.9531,0.033776067
3128.0247,0.03345565
3126.0962,0.033059057
3124.1677,0.032783654
3122.2393,0.03227338
3120.3105,0.03173843
3118.382,0.031357326
3116.4536,0.031004453
3114.5251,0.030724375
3112.5967,0.03041132
3110.6682,0.030003613
3108.7397,0.029645951
3106.811,0.029351609
3104.8826,0.029036177
3102.954,0.028819464
3101.0256,0.028537925
3099.0972,0.028168846
3097.1687,0.027973982
3095.2402,0.027565306
3093.3118,0.027067434
3091.383,0.02667536
3089.4546,0.02636954
3087.5261,0.026191177
3085.5977,0.02592667
3083.6692,0.025635365
3081.7407,0.025388902
3079.8123,0.02501919
3077.8838,0.0248271
3075.955,0.024669463
3074.0266,0.024343008
3072.0981,0.0240002
3070.1697,0.02384969
3068.2412,0.023681806
3066.3127,0.023487683
3064.3843,0.023123778
3062.4556,0.022736259
3060.527,0.022523018
3058.5986,0.022316122
3056.6702,0.021998122
3054.7417,0.021709405
3052.8132,0.021516059
3050.8848,0.021297393
3048.9563,0.021150323
3047.0276,0.020910075
3045.099,0.020625971
3043.1707,0.020357193
3041.2422,0.020161219
3039.3137,0.020056829
3037.3853,0.019957285
3035.4568,0.019744223
3033.5283,0.019456757
3031.5996,0.01927702
3029.6711,0.019080251
3027.7427,0.019034138
3025.8142,0.018931229
3023.8857,0.018729221
3021.9573,0.018546566
3020.0288,0.018423134
3018.1,0.018230105
3016.1716,0.018096918
3014.2432,0.018005213
3012.3147,0.0179079
3010.3862,0.017726593
3008.4578,0.017524868
3006.5293,0.017375136
3004.6008,0.017249072
3002.672,0.017006012
3000.7437,0.016859833
2998.8152,0.016770663
2996.8867,0.016650764
2994.9583,0.016496137
2993.0298,0.016374525
2991.1013,0.01631865
2989.1729,0.01623052
2987.2441,0.016035471
2985.3157,0.01595324
2983.3872,0.015861988
2981.4587,0.015802436
2979.5303,0.015803054
2977.6018,0.015837176
2975.6733,0.015705992
2973.7449,0.015631279
2971.8162,0.015666762
2969.8877,0.015633168
2967.9592,0.015574847
2966.0308,0.015544798
2964.1023,0.015503727
2962.1738,0.015470627
2960.2454,0.015491434
2958.3167,0.015496826
2956.3882,0.015442541
2954.4597,0.015391525
2952.5312,0.015324587
2950.6028,0.015315457
2948.6743,0.015212225
2946.7458,0.015046377
2944.8174,0.015034371
2942.8887,0.015107268
2940.9602,0.015162162
2939.0317,0.015150599
2937.1033,0.015191534
2935.1748,0.015412191
2933.2463,0.01566817
2931.3179,0.015784258
2929.3894,0.015920175
2927.4607,0.016278677
2925.5322,0.016868204
2923.6038,0.017597977
2921.6753,0.018507736
2919.7468,0.01970317
2917.8184,0.020569306
2915.89,0.020283688
2913.9612,0.018702272
2912.0327,0.01700291
2910.1042,0.015864395
2908.1758,0.015309073
2906.2473,0.014959121
2904.3188,0.014645433
2902.3904,0.014442873
